idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
54,1,2,5,2,月亮,moon,QY,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
55,1,2,5,2,月亮,moon,FG,ngiot8 na3,1,4,月 na³⁵,yt²² na³⁵,,,
56,1,2,5,2,月亮,moon,YD,ngiot8 kwong1,1,1,月光,jyt²² kɔŋ⁵⁵,,,
57,1,2,5,2,月亮,moon,YS,ngiot8 kwong1,1,1,月光,yt²² kuɔŋ⁵²,,,
58,1,2,5,2,月亮,moon,BT,ngiot8 liong6,1,5,月亮,ŋyt²⁴ liaŋ²¹⁴,,,
59,1,2,5,2,月亮,moon,LX,ngiot8 kwong1,1,1,月光,ŋyt²² kuɔŋ⁵³,,,
60,1,2,5,2,月亮,moon,SG,ngiot8 kwong1,1,1,月光,jyt²² kɔŋ⁵⁵,,,
61,1,2,5,2,月亮,moon,QJ,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
62,1,2,5,2,月亮,moon,RH,ngiot8 kwong1,1,1,月光,it²² kɔŋ⁵⁵,,,
63,1,2,5,2,月亮,moon,LC,ngiot8 kwong1,1,1,月光,yt²² kɔŋ⁵⁵,,,
64,2,13,15,,閃電,flash lightning,GZ,shiam3 tian6,1,1,閃電,sim³⁵ tin²²,,,
65,2,13,15,,閃電,flash lightning,HK,shiam3 tian6,1,1,閃電,sim³⁵ tin²²,,,
66,2,13,15,,閃電,flash lightning,JT,shiam3 tian6,1,1,閃電,sim³⁵ tiŋ³²,,,
67,2,13,15,,閃電,flash lightning,MC,shiam3 tian6,1,1,閃電,sim¹³ tin³³,,,
68,2,13,15,,閃電,flash lightning,PY,shiam3 tian6,1,1,閃電,sim³⁵ tin²²,,,
69,2,13,15,,閃電,flash lightning,HXHS,shiam3 tian6,1,1,閃電,sim³⁵ tin²¹,,,
70,2,13,15,,閃電,flash lightning,CH,luoj2 kung1 fi fe,3,1,雷公 fi³³ fɛ⁵⁵,lœy²² koŋ²³ fi³³ fɛ⁵⁵,,,
71,2,13,15,,閃電,flash lightning,ZC,thian1 she2 siam3,4,1,天蛇閃,tʰɛŋ⁵⁵ sɛ⁵¹ sim³⁵,,,
72,2,13,15,,閃電,flash lightning,FS,siap7 liang6,5,1,攝 lɛŋ²²,sip³³ lɛŋ²²,,,
73,2,13,15,,閃電,flash lightning,NH,iop8 liang6,5,2,jiɛp²² lɛŋ²²,jiɛp²² lɛŋ²²,,,
74,2,13,15,,閃電,flash lightning,SD,shiam3 tian6,1,1,閃電,sim²⁴ tin²¹,,,
75,2,13,15,,閃電,flash lightning,SS,shiam3 liang6,5,5,閃 liaŋ²²,sim³⁵ liaŋ²²,,,
76,2,13,15,,閃電,flash lightning,GM,iop8 liang6,5,2,jiɛp⁵⁵ liɛŋ²¹,jiɛp⁵⁵ liɛŋ²¹,,,
77,2,13,15,,閃電,flash lightning,ZS,shiam3 tian6,1,1,閃電,sim²¹ tin³³,,,
78,2,13,15,,閃電,flash lightning,ZH,shiam3 tian6,1,1,閃電,sim¹³ tin³³,,,
79,2,13,15,,閃電,flash lightning,DMSH,thian1 siap7,4,1,天霎,tʰin⁴⁵ sip²¹,,,
80,2,13,15,,閃電,flash lightning,DMZ,shiam3 tian6,1,1,閃電,sim⁵⁵ tin³¹,,,
81,2,13,15,,閃電,flash lightning,JM,thian1 siap7,4,2,天霎,hin²³ siap³³,,,
82,2,13,15,,閃電,flash lightning,XH,thian1 siap7,4,2,天霎,hin²³ sip³³,,,
83,2,13,15,,閃電,flash lightning,TS,thian1 siap7,4,2,天霎,hen³³ siap³³,,,
84,2,13,15,,閃電,flash lightning,KP,thian1 siap7,4,2,天霎,hin³³ sep³³,,,
85,2,13,15,,閃電,flash lightning,EP,thian1 siap7,4,2,天霎,hian³³ siep³³,,,
86,2,13,15,,閃電,flash lightning,HS,shiam3 tian6,1,1,閃電,sim⁵⁵ en³²,,,
87,2,13,15,,閃電,flash lightning,DG,shiam3 tian6,1,1,閃電,sin³⁵ tin³²,,,
88,2,13,15,,閃電,flash lightning,BA,shiam3 tian6,1,1,閃電,siŋ¹¹ tiŋ³²,,,
89,2,13,15,,閃電,flash lightning,GP,iop8 liang6,5,2,iɐp²² liŋ²²,iɐp²² liŋ²²,,,
90,2,13,15,,閃電,flash lightning,MS,shiam3 tian6,1,1,閃電,ʃim⁴² tin²¹⁴,,,
91,2,13,15,,閃電,flash lightning,GG,iop8 liang6,5,2,iɔp²³ liŋ²²,iɔp²³ liŋ²²,,,
92,2,13,15,,閃電,flash lightning,BL,iop8 liang6,5,2,iap⁵⁵ liŋ³²,iap⁵⁵ liŋ³²,,,
93,2,13,15,,閃電,flash lightning,BS,shiam3 tian6,1,1,閃電,ʃim³⁵ tin²²,,,
94,2,13,15,,閃電,flash lightning,BB,shiam3 tian6,1,1,閃電,ʃim³³ tin²¹,,,
95,2,13,15,,閃電,flash lightning,LS,shiam3 tian6,1,1,閃電,ʃim⁵⁵ tʰin³³,,,
96,2,13,15,,閃電,flash lightning,PB,shiam3 tian6,1,1,閃電,ʃim³³ tʰin²²,,,
97,2,13,15,,閃電,flash lightning,QZ,shiam3 tian6,1,1,閃電,ʃim³⁵ tin²²,,,
98,2,13,15,,閃電,flash lightning,BH,shiam3 tian6,1,1,閃電,ʃim³⁵ tin²²,,,
99,2,13,15,,閃電,flash lightning,NM,shiam3 tian6,1,1,閃電,ʃim³⁵ tin²²,,,
100,2,13,15,,閃電,flash lightning,NN,shiam3 tian6,1,1,閃電,ʃim³⁵ tin²²,,,
101,2,13,15,,閃電,flash lightning,NN_p,shiam3 tian6,1,1,閃電,ɬim³³ tin²²,,,
102,2,13,15,,閃電,flash lightning,FS_p,shiam3 tian6,1,1,閃電,ʃim³³ tin¹³,,,
103,2,13,15,,閃電,flash lightning,BS_p,shiam3 tian6,1,1,閃電,ʃim³³ tin²²,,,
104,2,13,15,,閃電,flash lightning,BY,kwat7 lu law,6,1,kuat³³ lu²¹³ lau⁵²,kuat³³ lu²¹³ lau⁵²,,,
105,2,13,15,,閃電,flash lightning,HX,ta3 liang6,5,3,打 liŋ²²,ta³³ liŋ²²,,,
106,2,13,15,,閃電,flash lightning,ZQ,shiam3 liang6,5,5,閃 lɛŋ⁵²,sim³⁵ lɛŋ⁵²,,,
107,2,13,15,,閃電,flash lightning,SH,shiam3 tian6,1,1,閃電,sin³³ ten²⁴,,,
108,2,13,15,,閃電,flash lightning,GN,shiam3 tian6,1,1,閃電,sin⁵⁵ ten²¹⁴,,,
109,2,13,15,,閃電,flash lightning,DQ,shiam3 tian6,1,1,閃電,sim³⁵ tin²¹,,,
110,2,13,15,,閃電,flash lightning,HJ,cia3 liop7 liang6,5,4,扯立令,tsᴇ⁵³ lɐp³²⁵ lɛŋ³²⁵,,,
111,2,13,15,,閃電,flash lightning,FK,iop8 liang6,5,2,iap²² liŋ²¹,iap²² liŋ²¹,,,
112,2,13,15,,閃電,flash lightning,YF,siap7 liang6,5,1,sap³³ lᴇŋ²¹,sap³³ lᴇŋ²¹,,,
113,2,13,15,,閃電,flash lightning,XX,shiam3 tian6,1,1,閃電,sim³⁵ tin⁴²,,,
114,2,13,15,,閃電,flash lightning,LD,shiam3 tian6,1,1,閃電,sim³⁵ tin²¹,,,
115,2,13,15,,閃電,flash lightning,LD,siap7 liang6,5,1,涉靈,sip⁵⁵ leŋ²¹,,,
116,2,13,15,,閃電,flash lightning,YN,siap7 liang6,5,1,sip³³ lɤŋ²¹,sip³³ lɤŋ²¹,,,
117,2,13,15,,閃電,flash lightning,QY,shiam3 tian6,1,1,閃電,sim³⁵ tin²²,,,
118,2,13,15,,閃電,flash lightning,FG,shiam3 tian6,1,1,閃電,sim³⁵ tin²¹,,,
119,2,13,15,,閃電,flash lightning,YD,shiam3 tian6,1,1,閃電,ʃim²⁴ tin³¹,,,
120,2,13,15,,閃電,flash lightning,YS,luoj2 kung1 fo9,3,2,雷公火,loi³³ koŋ⁴² fɔ⁵⁵,,,
121,2,13,15,,閃電,flash lightning,BT,cia liop liang2,5,4,扯律令,tʃʰia⁵⁵ lɔt²² lɛŋ²¹⁴,,,
122,2,13,15,,閃電,flash lightning,LX,shiam3 tian6,1,1,閃電,ʂin⁵⁵ tɛn²²,,,
123,2,13,15,,閃電,flash lightning,SG,shiam3 tian6,1,1,閃電,sin³⁵ tin²²,,,
124,2,13,15,,閃電,flash lightning,QJ,shiam3 tian6,1,1,閃電,sin³⁵ tin²²,,,
125,2,13,15,,閃電,flash lightning,RH,shiam3 tian6,1,1,閃電,sin³⁵ tin²²,,,
126,2,13,15,,閃電,flash lightning,LC,shiam3 tian6,1,1,閃電,sin³⁵ tin²²,,,
127,3,18,20,,下雨,to rain,GZ,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
128,3,18,20,,下雨,to rain,HK,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
129,3,18,20,,下雨,to rain,JT,lok8 y4,1,1,落雨,lɔk²² jy²³,,,
130,3,18,20,,下雨,to rain,MC,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
131,3,18,20,,下雨,to rain,PY,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
132,3,18,20,,下雨,to rain,HXHS,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
133,3,18,20,,下雨,to rain,CH,lok8 shuj3,2,1,落水,lɔk²² sœy³⁵,,,
134,3,18,20,,下雨,to rain,ZC,lok8 y4,1,1,落雨,lɔk²² ji¹³,,,
135,3,18,20,,下雨,to rain,FS,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
136,3,18,20,,下雨,to rain,NH,lok8 y4,1,1,落雨,lɔk²² hy¹³,,,
137,3,18,20,,下雨,to rain,SD,lok8 y4,1,1,落雨,lɔk²¹ hy¹³,,,
138,3,18,20,,下雨,to rain,SS,lok8 y4,1,1,落雨,lɔk²² hy¹³,,,
139,3,18,20,,下雨,to rain,GM,lok8 y4,1,1,落雨,lɔk²² hy³³,,,
140,3,18,20,,下雨,to rain,ZS,lok8 y4,1,1,落雨,lɔk³³ y²¹³,,,
141,3,18,20,,下雨,to rain,ZH,lok8 y4,1,1,落雨,lɔk³³ y¹³,,,
142,3,18,20,,下雨,to rain,DMSH,lok8 y4,1,1,落雨,lɔk²¹ jy¹³,,,
