(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
GG	ti6	cin4	nung4	thung1_thung1	ja4	tung2	fi1_shy3	pha5	hat7_nyi2	tsyn1	ne9	hap7	nyin	khwaaj5_tsi3	in1_shuj3	thu3_kaw3	cham_chuj	muon2_hom3	tshing1_ting2	hiak7	tan6	kaw3_na3	iop8_liang6	mun1_jing1	kap7_na3	ciak7	khap7_taw3	kuk7	ciak7	long1_jong6	ki1	thong5	kom6	ciong1	shaang1	kiw6	tsoj4	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_tsi3	hi1	caang1	ciak8	saang6_khik8	puk7_ngaw	kiong5	cing2	jiam2	wun1	cong1	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	nung	thong3_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2	fan6	sang	kiat7_shit8	a5	paak7_nem1	ko1	tsaj5	lok8_y4	kam2_shy2	ming2_nyit8	li6	ku1	tse1	kwaaj1	mat7_nyin2	jik8	tsung2_nyit8
GM	ti6		ngo4	tsion2_pu5	tu1	tung2	fuk7_shy3	fong1	hat7_nyi2	tsyn1	nian1	ha1	ngwaan2_pi2	khwaaj5_tsi3	tung5_shuj3	sik7_syt7	u1_tsow1	muon2_hom3	tong2_mi1	iak7	chun1	kaw3_na3	iop8_liang6	wu1_jing1	kap7_na3	ko5	lap7_tse1 / kham3_taw3	kuk7	phit7	tiam3	tu4_ngo6	thong5	puoj6	ciong1	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6	hi1	hiam5	pi3	sa3	ku/o1_luk7	lung2	chuj1	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	pu2_lat7_tsiok8	kham2_low2	fan6	khwaang5	shit8_tsiang6	ko5	shy3_mo1_tsaj3	ni1	tew3	lok8_y4	kam2_shy2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	kham2_nyit8
GN	ne2	cin4	ngo4			tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1		tiaw5_pi2	ty6	tung5_shuj3	tshow3_tsyt7	laat8_thaat7 / u1_tsow1	ti6_kaaw1	tong2_ni1	hiak7	chun1	kaw3_na3	shiam3_tian6	wu1_jing1	kap7	ko5	tsap7_e_lat7	wo2	phit7		tu4_ki1	tshi5	khong5	ciong1	o1	laang4	tu6	thaj3	kaw3_ku3	ngiot8_kwong1	pi6_ko1	wian(g)5	hiam5	pi3	sa3	pat5_luk7	lung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	kiaw5	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wo2_kuk1_tsaj3	kham2_low2	fan6	haang2	shit8_tsiang6	ko5	tsaak8_tsaj3	ko1	phiak8	lok8_y4	kam2_shy2	t(h)ung1_tiw1_nyit8	li6 / shit8	taw5	tse1	tsing1	pian1_ko5	chi5	tsi6_nyit8
GP	ti6	cin4	ngo4	ham9_pa9_lang9	ja4	tung2	fi1_shy3	kiang1	hat7_nyi2	eng1	me1	hap7	ngwaan2_pi2	khwaaj5_tsi3	tung5_shuj3	thu3_kaw3	laat8_thaat7	muon2_hom3	tshing1_ting2	shik2	tan6	kaw3_na3	iop8_liang6	mun1_jing1	kap7_na3	ko5	khap7_taw3	kuk7	phit7	tiam3_jong6	ngo6	thong5	hong5	pa3	shaang1	cing6	haj3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	ngaaj4	lew6	pu/o1_luk7	kiong5	cing2	jiam2	wun1	cong1	p(i)ok7_taw2	na1	ha1_kung1	shuj6	tsaj3	thong3_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2	fan6	lew6	khim1	n/lu1/4	tsaak8	a5	tew3	lok8_shuj3	kam2_ky2	ming2_nyit8	li6_tsin2	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsok8_nyit8
GZ	ti6	cin4	ngo4	ham9_pa9_lang9	tu1	tung2	fi1_shy3 / fuk7_shy3	kiang1 / tsat8	hat7_nyi2	tsyn1	nian1	ha1	jaj4 / paak7_iam5 / tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	tsik7_tsyt7	laat8_thaat7 / u1_tsow1	muon2_cham2	tong2_mi1	shik2	chun1 / tan6	kaw3_na3	shiam3_tian6	wu1_jing1	tshing1_wa1 / tian2_kaj1	ko5	tsap7_lap7	wo2	ciak7	tiam3	tu4_ngo6	wun2 / tshi5	puoj6	ciong1	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	lew6 / wan4	luk7_jiw9	hung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	aaj5 / kiaw5	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	ma2_tsiok8 / wo2_fa1_tsiok8	ci1_cy1 / kham2_low2	fan6	tong6 / kwaang6	shit8_tsiang6	ko5	tsaak8_tsaj3	ni1	tiang5 / phiak8	lok8_y4	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	kham2_nyit8 / tsam2_nyit8
HJ	ti6 / toj6	kin4	ngo4			tung2 / kaap7	fi1_shy3	pha5	hat7_tiak7_tsaj3 / hat7_thiak7_low3	tsyn1 / eng1	nian1		tiaw5_pi2 / paak7_iam5	ty6	tung5_shuj3	tsik7_tsyt7	laat8_thaat7 / u1_tsow1	muon2_kim2	long2_li4	hiak7	chun1	kaw3_na3	cia_liop_liang2	tshong1_jing2	kap7_na3	ko5	tsap7_lap7	wo2	taw2/6		tu4_ki1	tshi5 / thong5 / wun2	hong5	ci1 / pa3	o1	laang4	tu6	thaj3 / hon5 / mong6	kaw3_kung1	ngiot8_liong6	pi6_ko1 / pi6_lang_nang	wian(g)5	caang1	pi3	sa3	kwo/u3_jiw6	hung2	long2_(fung1)	jiam2	wun1	jiaw3 / tsoj5	p(i)ok7_taw2	kiaw5 / waaj1	ha1_kung1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma_lat1_tsaj3	kham2_low2	fan6	tong6	kiat7_shit8	puj1	tsaak8_tsaj3	ko1	kwiang	lok8_y4	kam2_shy2	t(h)ung1_tiw1_nyit8	li6 / shit8	taw5	tse1	kwaaj1 / thiang1_wa6	jiw_na	chi5	haj_jia_nyit
HK	ti6	cin4	ngo4	tsion2_pu5 / ham9_pa9_lang9	tu1	tung2 / tung2_maaj2	phian1_fuk7 / fuk7_shy3	kiang1	hat7_nyi2	tsyn1	nian1	ha1	tiaw5_pi2 / paak7_iam5	khwaaj5_tsi3	tung5_shuj3	tsik7_tsyt7 / sik7_syt7	laat8_thaat7 / la6_tsa1 / u1_tsow1	muon2_chan2	tong2_mi1 / tshing1_ting2	shik2	tan6	kaw3_na3	shiam3_tian6	wu1_jing1	tshing1_wa1 / tian2_kaj1	ko5	tsap7_lap7	wo2	ciak7 / phit7	tiam3 / tiam3_jong6	tu4_ngo6	wun2 / tshi5	puoj6	ciong1 / pa3	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1 / pi6	hi1	caang1	pi3	wan4	luk7_jiw9	thian1_hung2_ / tshoi3_hung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	aaj5 / kiaw5	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2 / ci1_cy1	fan6	khwaang5	shit8_tsiang6	ko5	tsaak8_tsaj3	ni1	tiang5 / phiak8	lok8_y4	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	kham2_nyit8 / tsam2_nyit8
HS	9		ngo4	ham9_pa9_lang9	tu1	tung2	fuk7_shy3	fong1	hat7_nyi2	tsyn1	nian1	ha1	nyin4_pi2	khwaaj5_tsi3	tung5_shuj3	tsik7_tsyt7	laat8_thaat7	muon2_chan2	nong2_mi4	shik2	tan6	kaw3_na3	shiam3_tian6	wu1_jing1	tian2_kaj1	ko5	tsap7_lap7 / tow3_tsu6	kuk7	ciak7	king1	tu4_ngo6	thong5	puoj6	ciong1	thuot7	laang4	hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6	hi1	caang1	pi3	sa3	luk7_jiw9	kung4	shaw3	jiam2	wun1	cong1	kaan5_taw2	kiaw5	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wo2_tsiok8	kham2_low2	fan6	lew6	shit8_tsiang6	kaan9	shy3_mo1_tsaj3	khoj9	kwiang	lok8_shuj3	kam2_shy2	hing1_nyit8	li6	taw5	tse1	kwaaj1	m2_ko5	jik8	tsung2_nyit8
HX	ti6	cin4	ngo4	ham9_pa9_lang9	hi	kung6	fi1_shy3_shiong1	pha5	hat7_nyi2	tsyn1	me1_tse3	hap7	tiaw5_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	uk7_cuk1	muon2_fuk8	tshing1_ting2	hak/t7	tan6	kaw3_mu4	ta_liang6	mun1_sing1	kap7_me1	ko5	khap7_taw3	kuk7	phit7	tung2_niang	ki1	wuoj6	ciak7	pa3	o1	cing6	kan1	thaj3	kaw3_kung1	ngiot8_kwong1	pat8	hi1	caang1	ciak8	laang1	puk8_tsi3	mang_kiong	cing2	jiam2	wun1	jiaw3	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	nyi2	thong3_kaang1	wong2_taw6	tsiaw1_tsiok8	can1_cy1	fan6	laang1	kiat7_shit8	no5	paak7_nem1	ko1	tew3	lok8_y4	cam2_shy2	ming2_nyit8	li6	taw5	tse1	kwaaj1	na3_ko5	jik8	tsok8_nyit8
HXHS	te6	cin4	ngaj4	ham9_pa9_lang9	tu1	tung2	fi1_shy3	fong1	hat7_nyi2	tsyn1	nian1	ha1	ngwaan2_pi2	khwaaj5_tsi3	tung5_shuj3	tsyt7	laj6_saj6	ti6_fuk8	jong2_mi4	shik2	tan6	kaw3_na3	shiam3_tian6	wu1_jing1	kap7_na3	koj5	tsap7_lap7	wo2	ciak7	tiam3_jong6	tu4_ngo6	thong5	tam2	ciong1	kim3	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	lew6	luk7_tsaj3	lan1_kung4	taw4	jiam2	wun1	cong1	kaan5_taw2	aaw1	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	wo2_tsiok8	kham2_low2	fan6	kwaang6	shit8_tsiang6	kaaj5	je6_mo1	ni1	kwiang	lok8_y4	kam2_ky2	thing1_ciw3	li6	pho1	tse1	kwaaj1	mat7_shuj2	jik8	tsam2_man9
HZ	ne2		ngo4 / ngwang4_(1pl_incl)	it1_wuoj6			fi1_shy3	kiang1	hat7_nyi2_low3	tsyn1	niang1		kaaw3	khwaaj5_cy6		thu3_kaw3		muon2_ti6_fuk8	tong2_mi1 / nong2_ni9	hak/t7	tan6	kaw3_niang2	fo3_she2	mun1_jing1	kap7	ciak7	tsap7_lap7	wo2		tiang3_tsi3	tu4_ki1	tshi5 / wuoj6	ciak7		shaang1	tam2_(post)	tsoj4	thaj3	kaw3_ku3	ngiot8_liong6	pi6	hi1		pi3	lam3	ka1_puk8	kiong5	long2		wun1 / lo6	jiaw3 / pat7		aaw1	ha1_kung1	mi1	tsaj3		paak8_taw6	wo2_mi1 / kuk7_mi1	kham2_low2 / tshian1_tshiw1_nyi2	fan6	tong6 / shaw3	mit8_shit8	na6	tsaak8	ko1	tew3 / tip8	lok8_shuj3	kam2_shy2	ming2_ciw1_nyit8	li6	taw5		thiang1_kong3	mat7_shuj2	jik8	tsuk8_nyit8
JM	k9	kin4	ngaj4	ham9_pa9_lang9	jiak8	tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1_hong2 / naaj4	ha1 / hi1_fu4	paak7_iam5	khwaaj5_tsi3	tung5_shuj3	tsiw3_tsyt7	la6_tsa1 / laat8_thaat7	muon2_cham2	long2_li4	shik2	tan6	kaw3_na3	hian1_she2_siam3	wu1_jing1	kap7	koj5	shiw1_shuj3	wo2	ciak7	ki3_jong6_e3	tu4_ki1	waang2	puoj6	ciong1	shaang1	laang4	haj3	thaj3	kaw3_ku3	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	lian1	pu/o1_luk7	kiw_kung4	shaw3	jiam2	wun1	jiaw3	kaan5_taw2	haam5 / kiaw5	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	wo2_tsiok8	kham2_low2	fan6	tong6	shit8_tsiang6	ning9	siaw3_mo1	khat9	tiang5 / saw	lok8_shuj3	kam2_shy2	hian1_tsow3	li6	taw5	tse1	kwaaj1	pian1_ko5	jik8	tso2_man9
JT	ti6	kin4	ngo4	thung1_thung1	jiak8	tung2_maaj2	fi1_shy3	kwong2	hat7_nyi2 / hat7_nyi2_low3	tsyn1	ma_tsaj3	ha1	ngwaan2_pi2	cy6	tung5_shuj3	tsuk7_tsyt7	ning3_shi3	muon2_chan2	nong2_ni9	hiak7	chun1	kaw3_na3	shiam3_tian6	wu1_jing1	kap7	ko5	tsap7_lap7	wo2	ciak7	tiam3_jong6	tu4_ngo6	thong5	tam2	ciong1	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_kung1	tshiang1	caang1	pi3	wan4	wo2_luk7	kung4	shaw3	jiam2	tsam2	jiaw3	kaan5_taw2	haam5	ha1	hun1	tsaj3	thong2_huk9	wong2_taw6	ma2_tsiok8	kham2_low2	fan6	lew6	kiat7_shit8	ko5	tsaak8	ne1	tam4	lok8_y4	kam2_ky2	thing1_nyit8 / ming2_nyit8	li6	pho1	tse1	kwaaj1	a1_shuj2	jik8	tso2_nyit8
KP	9	kin4	ngoj4	ham9_pa9_lang9	jiak8	tung2	fi1_shy3	nat8	hat5_maj3_tsaj3	tsyn1	nian1	hi1_fu4 / ha1	khwaaj5_shiong3	khwaaj5	tung5_shuj3	sik7_syt7	laat8_thaat7 / la6_tsa1	muon2_ti6_fuk8	wong_ni9	hiak7	tan6	kaw3_na3	hian1_she2_siam3	wo2_jing1	tian2_kaj1	koj5	shiw1_shuj3	wo2	koj5	ki3_jong6	tu4_ngo6	waang2 / luon2	tam2	ciong1	shaang1	tung5	tow5	thaj3	kaw3_kung1	po1_so9	pi6_ko1	hi1	caang1	i3	lew6	pu/o1_luk7	wok8_nyi3_lung2	shaw3	shiong6_mi6	wun1	jiaw3	kaan5_taw2	haam5	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	wo2_tsiok8	kha2_low9	fan6	tong6	shit8_tsiang6	ning9	siaw3_mo1	khoj9	phiak8 / saw	lok8_shuj3	kam2_shy2	hian1_tsow3	li6	taw5	tse1	thiang1_kaaw5	mat7_a1_shuj2 / mat7_shuj2	jik8	tsok8_man9 / tsok8_man9
LC	ti6	kin4	ngo4			tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1 / naaj4_taw2		paak7_iam5	khwaaj5_tsi3	tung5_shuj3	tsik7	laat8_thaat7 / u1_tsow1	muon2_ka/om4	tong2_mi1 / haw6_mei1	shik2	tan6	kaw3_na3	shiam3_tian6	wu1_jing1	kap7_na3 / tian2_kaj1	ko5	tsap7_lap7	wo2 / shuj3_taw6	ciak7		tu4_ngo6	wun2 / thong5	puoj6	pa3	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_ku3	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	wan4	jiw6_kung1	thian1_kung4	taw4	jiam2	wun1	cong1	kaan5_taw2	kiaw5	ha1_kung1 / ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	wo2_tsiok8_tsaj3 / ma2_tsiok8	kha2_la2	fan6	tong6 / haang2	shit8_tsiang6	ko5	pa2_shiw3 / siaw3_thaw1	ni1	phiak8 / tiang5	lok8_y4	kam2_ky2_po2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik_paak8	kham2_nyit8
LD	ti6	kaj4	ngo4			tung2	fuk7_shy3	kiang1	hat7_nyi2	tsyn1	nian1		tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	tsuk7_tsyt7	laat8_thaat7 / u1_tsow1	muon2_ka/om4	tong2_ni1	shik2	chun1	kaw3_na3	shiam3_tian6 / siap3_liang6	wu1_jing1	kap7_na3	ko5	tsap7_lap7	wo2	phit7		tu4_ki1	tshi5	puoj6	pa3	shaang1	laang4	tsoj4	thaj3	kaw3_ku3	ngiot8_kwong1	pi6_ko1	hi1	caang1 / hiam5	pi3	sa3 / wan4	mat_jiw6		taw4	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2 / kha2_low9	fan6	tong6	kiat7_shit8	ko5	tsaak8_tsaj3 / pa2_shiw3	ni1	tiang5	lok8_shuj3	kam2_ky2	thing1_nyit8	li6 / li6_taw2	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsam2_nyit8
LJ	ti6	cin4	ngo4				fi1_shy3	kiang1	hat7_nyi2	tsyn1			paak7_iam5	khwaaj5_cy6 / cy6	tung5_shuj3	sik7_syt7	ngan3		nap_ni1	shik2	tan6	kaw3_na3	kung1_nyop2_ngaan4	mun1_jing1	kap7_na3	ko5	tsap7_lap7	wo2	ciak7		tu4_ngo6	wun2 / tshi5	hong5	pa3	shaang1	cing6	tow5 / tsaw3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_kung1	hi1	hiam5	pi3	lew6	pu/o1_luk7	hung2	taw4 / cing2	jiam2	wun1	cong1	p(i)ok7_taw2 / kaan5_taw2	aaw1	ha1	shuj6	tsaj3	ci2_kaang1 / tiaw2_kaang1	wong2_taw6	ma2_tsiok8_tsaj3	kham2_low2	fan6	tong6 / kwaang6		no5	tsaak8_low3 / tsaak8_tsaj3	ko1	tip8	lok8_shuj3	kam2_shy2	min2_nyit8 / ming2_nyit8	li6	kho1	tse1	kwaaj1	mat7_nyin2	jik8	tsung2_nyit8
LS	ti6	cin4	ngo4	tsion2_pu5	ja4	kung6	fi1_shy3	pha5	hat7_nyi2_low3	hu2	mi_tsi3	ha1	tiaw5_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	la6_tsa1	muon2_hom3	tshing1_ting2	hiak7	tan6	mu4_kaw3	shiam3_tian6	mun1_sing1	mu4_kap7	ko5	kwaan1_muon2	kuk7	ciak7	tung2_niang	ki1	thong5	ciak7	pa3	shaang1	cing6	tsoj4	hon5	kung1_kaw3	ngiot8_liong6	pat8_kung1	hi1	caang1	ciak8	laang1	puk8_tsi3	phiang_kiong5	long2	jiam2	wun1	jiaw3	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	tsaj3	tiaw2_kaang1	wong2_taw6	ma_li_lat7	ci1_cy1	fan6	laang1	mung2_tsaang2_kin6	ni1	tsaak8_low3	kǝ1	tsaj5	lok8_y4	kam2_shy2	ming2_nyit8	li6	taw5	saan3	kwaaj1	na3_ko5	jik8	tsi6_nyit8
LX	luj6	kin4	ngo4			low3	fi1_shy3	pha5	kiw1_kwa1_low3	tsyn1	nian1		tiaw5_pi2	khwaaj5_tsi3	lang4_shuj3	sik7_syt7	laat8_thaat7	muon2_kim2	tshing1_ting2	hiak7	chun1	kaw3_na3	shiam3_tian6	jing1	tian2_kaj1	na6	shiw1_tong5	wo2	phit7		tu4_ki1	tshi5	puoj6	ciong1	shaang1	laang4	tow5	mong6	kaw3_ku3	ngiot8_kwong1	pi6	wian(g)5	caang1	pan1	sa3	pan1_luk7	thian1_kiong5	cing2	jiam2	tsam2	cong1	p(i)ok7_taw2	waaw1	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2	pan6	tong6	kiat7_shit8	ko5	pa2_shiw3	ni1	tew3	lok8_y4	kam2_ky2	ming2_nyit8	shit8_taw2	taw5	tse1	thiang1_wa6	law5_na3	chi5_paang5	tsi6_nyit8
MC	ti6	cin4	ngo4	tsion2_pu5	tu1	tung2	phian1_fuk7	kiang1	hat7_nyi2	tsyn1	naaj4	ha1	tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	sik7_syt7	u1_tsow1	muon2_ka/om4	tong2_mi1	shik2	chun1 / tan6	kaw3_na3	shiam3_tian6	wu1_jing1	tian2_kaj1	ko5	tsap7_lap7	wo2	ciak7	tiam3	ngo6	tshi5	puoj6	ciong1	shaang1	laang4	haj3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	wan4	luk7_jiw9	hung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	kiaw5	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	ma2_tsiok8	kham2_low2	fan6	haang2_kaaj1	shit8_tsiang6	ko5	thaw1_tsaj3	ni1	tam4	lok8_y4	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsam2_nyit8
MS	ti6	cin4	ng4	it1_hi3	ja4	tsaw1	fi1_shy3	pha5	kiw1_hwa1	bing2	nian1	hǝ1	niap8	khwaaj5_tsi3	tung5_shuj3	thu3_kaw3	u(o)1	muon2_kim2	tshing1_ting2	hiak7	tan6	kaw3_na3	shiam3_tian6	mun1_jing1	kap7	ko5	tsap7_tong5	kuk7	me6	no3_nan	ngo6	thong5	kom6	pa3	shaang1	kiw6	tsoj4	hon5	kaw3_ku3	ngiot8_liong6	pi6	hi1	caang1	pi3	uj1_tong6	luok8_paw	lung2	long2	jiam2	lan	cong1	p(i)ok7_taw2	aaw1	ha1	shuj6	nyi2	tiaw2_kaang1	wong2_taw6	ma2_tsiok8	cam2_low2	pan6	kwaang6	kiat7_shit8	na6	tsaak8	ko1	tsaj5	lok8_shuj3	kam2_shy2	nyit8_ciw1_haw	shit8	pho1	tse1	tsing1	ci_taw	jik8_chi5	tsi6_nyit8
NH	ti6	cin4	ngo4	ham9_pa9_lang9	tu1	tung2	fi1_shy3	fong1 / pha5	hat7_nyi2	tsyn1	naaj4	ha1	jaj4	khwaaj5_tsi3	tung5_shuj3	tsyt7_tsyt7	u1_tsow1	muk8_ti6_kham9	tong2_mi1	shik2	chun1	kaw3_na3	iop8_liang6	jing1	shiong1_jong4	ko5	tsap7_lap7	wo2	ciak7	tiam3	tu4_ngo6	wun2 / khing5	puoj6	ciong1	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1 / ngiot8	pi6_ko1	hi1	caang1	pi3	sing2_nyin2 / fan4	pu/o1_luk7	lung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wu2_tsiok8	ci1_cy1	fan6	tong6	shit8_tsiang6	n/lu1/4	shy3_mo1_tsaj3	ni1	tiang5 / tshe1	lok8_y4	kam2_shy2	hing1_nyit8	li6	pho1	tse1	thiang1_wa6	pian1_ko5	jik8	kham2_nyit8
NM	ti6	cin4	ngo4	ham9_pa9_lang9	jiw6	tung2	fi1_shy3	pha5	hat7_nyi2	tsyn1	nian1	hap7	ngwaan2_pi2	khwaaj5_tsi3	in1_shuj3	tsuk7_tsyt7	laat8_thaat7	muon2_hom3	tshing1_ting2	shik2	tan6	kaw3_na3	shiam3_tian6	mun1_jing1	kap7_na3	ko5	khap7_taw3	kuk7	phit7	tiam3_jong6	ngo6	tshi5	hong5	pa3	o1	kiw6	haj3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	ngaaj4	sa3	puk7_ko3	hung2	cing2	jiam2	wun1	cong1	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	tsaj3	tiaw2_kaang1	wong2_taw6	ma2_tsiok8	ci1_cy1	fan6	kwaang6	khim1	n/lu1/4	tsaak8_tsaj3	a5	tew3	lok8_y4	pang2_paw1	thing1_nyit8	li6_tsin2	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsok8_nyit8
NN	ti6	kin4	ngo4	ham9_pa9_lang9	jiw6	tung2	fi1_shy3	pha5	hat7_nyi2	tsyn1	me1	hap7	ngwaan2_pi2	khwaaj5_shiw3	tung5_shuj3	tsyt7_tsyt7	laat8_thaat7	muon2_ka/om4	tong2_mi1	shik2	tan6	kaw3_na3	shiam3_tian6	mun1_jing1	kap7_na3	ko5	lam5_tong5	kuk7	phit7	tung2_tiam3	ngo6	wuoj6	hong5	pa3	o1	kiw6	haj3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	ngaaj4	sa3	pu/o1_luk7	kiong5	cing2	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	cy1_cy1	fan6	kwaang6	khim1	n/lu1/4	tsaak8	a5	tsaj5	lok8_y4	kam2_ky2	thing1_nyit8	li6_tsin2	pho1	tse1	kwaaj1	pian1_ko5	jik8	tso2_nyit8
NN_p	ti6	cin4	nga4	ham9_pa9_lang9	mo	tsaw1	fi1_shy3	pha5	kiw1_hwa1_tsi3	tsyn1	me1	hap7	ngwaan2_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	uk7_cuk1	muon2_ka/om4	tong2_li1	hiak7	tan6	mu4_kaw3	shiam3_tian6	mun1_jing1	kap7	koj5	khap7_taw3	kuk7	phit7	a_nang	ki1	kun1	hong5	pa3	a1/e1	kiw6	cy6	hon5	kung1_kaw3	ngiot8_kwong1	pat8_tsi3	hi1	caang1	ngaaj4	han	puk8_tsi3	kiong5	cing2	jiam2	laj1	cong1	p(i)ok7_taw2	aaw1	ha1_tsi3	shuj6	tsaj3	thong3_kaang1	wong2_taw6	ma2_tsiok8	cu1_ca1	fan6	jiw2	khim1	ni1	tsaak8_tsaj3	kǝ1	tew3	lok8_y4	cam2_shy2	ming2_nyit8	li6_tsin2	taw5	saan3	kwaaj1	nan5	jik8	tsi6_nyit8
PB	ti6	cin4	ngo4	tsion2_pu5	ja4	kung6	fi1_shy3	pha5	hat7_nyi2_low3	bing2	tsi1	ha1	tiaw5_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	la6_tsa1	muon2_hom3	tshing1_ting2	hiak7	tan6	mu4_kaw3	shiam3_tian6	mun1_sing1	kap7	ko5	kwaan1_muon2	kuk7	phit7	tung_ci	ki1	thong5	ciak7	pa3	shaang1	cing6	cy6	thaj3	kung1_kaw3	ngiot8_liong6	pat8_kung1	hi1	caang1	ciak8	loj1	luk7_puk8	phiang_kiong5	cing2	jiam2	wun1	jiaw3	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	tsaj3	tiaw2_kaang1	wong2_taw6	ma2_tsiok8	ci1_cy1	fan6	loj1	khim1	na6	tsaak8_low3	ku1	tew3	lok8_y4	cam2_shy2	ming2_nyit8	li6_tsin2	taw5	tse1	kwaaj1	mat7_nyin2	jik	tsi6_nyit8
