(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
DC	9	kin4	ngoj4	ham9_pa9_lang9	jiak8 / jiw6	tung2	fi1_shy3 / phian1_fuk7	nat8	hat7_nyi2	tsyn1	nian1	hi1_fu4	tiaw1_liaw9 / paak7_iam5	khwaaj5_tsi3 / khwaaj5		sik7_syt7	laj6_saj6	ti6_fuk8	wong2_mi9	hiak7	tan6	kaw3_na3	shiam3_tian6	wo2_jing1	kap7_kaaj1 / kam2_shy2 / tian2_kaj1	koj5		wo2		ki1_o9	tu4_ki1				shaang1		tow5	thaj3	kaw3_kung1	ngiot8_kwong1	pi6	hi1 / hi1_phiang1_phiang1		i3	lew6 / lew6 / lew6	pu/o1_luk7	thian1_hung2_ / shuj3_khung1		shiong6_mi6	poj3	cong1 / jiaw3	kaan5_taw2		ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8 / wo2_tsiok8	kham2_low2 / kha2_low9 / ci1_cy1	fan6		khim1	ning9	tsaak8	khoj9		lok8_shuj3	kap7_kwaaj1	hian1_tsow3	li6		tse1	thiang1_kaaw5	a1_shuj2	jik8 / jik8_fu	tsok8_nyit8
DG	ti6	kin4	ngo4	ham9_pa9_lang9	ja4	tung2	fi1_shy3	kwong2	hat7_shik8_low3	tsyn1	nian1	ha1	jaj4 / paak7_iam5	khwaaj5_tsi3	tung5_shuj3	tsi3_tsuk7	laaj6_sip7	ti6_puk8	nong2_ni9	shik2	chun1	kaw3_na3	shiam3_tian6	ku1_jing1	kap7	ko5	tsap7_lap7	wo2	ciak7	tiam3_jong6	shi3_tu4_ngo6	tshi5	puoj6	ciong1	shaang1	laang4	haj3 / hiong3 / tsoj4	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	tshiang1	caang1	pi3	lew6	wo2_luk7	kung4	taw4	jiam2	wun1	jiaw3	kaan5_taw2	haam5	ha1_kung1	hun1	tsaj3	ci2_kaang1	paak8_taw6	ma2_tsiok8	kham2_low2	fan6	tong6	shit8_tsiang6 / shit8_ti(t)7	ko5	tsaak8_tsaj3	ni1	wiang	lok8_y4	kam2_shy2	thing1_nyit8	li6	taw5	tse1	niang2_haaj2	shy3_ko5 / mat7_shuj2	jik8	tso2_nyit8
DMSH	ti6	kin4	ngo4	ham9_pa9_lang9	jiak8	tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1 / am1	hi1_fu4	paak7_iam5 / khwaaj5_	khwaaj5_tsi3	tung5_shuj3	sik7_syt7	la6_tsa1	muon2_ka/om4	tong2_mi1	hiak7	chun1 / chun1	kaw3_na3	thian1_she2_siam3	chiw5_jing1 / wu1_jing1	tian2_kaj1	ko5	tsap7_lap7	wo2	ciak7	tiam3	tu4_ngo6	wun2	puoj6	ciong1	shaang1	laang4	hiong3 / kan1	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	hiam5	pi3	wan4	pu/o1_luk7	lung2_kung4	taw4	shiong6_mi6	wun1	cong1	p(i)ok7_taw2	kiaw5	ha1	ke3	tsaj3	ci2_kaang1	paak8_taw6	wo2_fa1_tsiok8	kham2_low2	fan6	tong6	shit8_tsiang6	ko5	saam1_ciak1_shiw3	ni1	tiang5 / tew3	lok8_y4	kam2_ky2	thin1_ciw1_nyit8	li6	taw5_pho1 / taw5	tse1	kwaaj1	pian1_ko5 / mat7_shuj2	jik8	kham2_nyit8 / tsam2_nyit8
DMZ	k9	kin4	ngo4	ham9_pa9_lang9	jiak8	tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1	hi1_fu4	paak7_iam5	khwaaj5_tsi3	tung5_shuj3	sik7_syt7	la6_tsa1	muon2_ka/om4	nong2_ni9	hiak7	tan6	kaw3_na3	shiam3_tian6	huoj1_jing9	tian2_kaj1	ko5	tsap7_lap7	wo2	phit7 / phit7_ko5	tiam3	tu4_ngo6	waang2 / thong5	puoj6	ciong1	shaang1	laang4	kan1	thaj3	kaw3_kung1	ngiot8_kung1	pi6_ko1	hi1	caang1	pi3	lew6	pu/o1_luk7	lung2_kung4	shaw3	shiong6_mi6	wun1	jiaw3	kaan5_taw2	haam5	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wo2_tsiok8	kham2_low2	fan6	lew6	shit8_tsiang6	ning9	siaw3_mo1	kho9	tiang5 / wiang	lok8_shuj3	kam2_shy2	hian1_tsow3_ciw1	li6	taw5	tse1	kwaaj1	a1_shuj2	jik8	tso2_man9
DQ	ti6	cin4	ngo4			tung2	fi1_shy3 / fuk7_shy3	pha5 / kiang1	hat7_nyi2	bing2 / tsyn1	naaj4		tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	tsuk7_tsyt7	laat8_thaat7	muon2_ti6_fuk8	to2_li1	hiak7	chun1	kaw3_hong / kaw3_na3	shiam3_tian6	jing1_tsi3	tian2_kaj1	ko5	tsap7_lap7	wo2	phit7		tu4_ki1	tshi5	puoj6	ciong1	shaang1	laang4	tsoj4	thaj3	kaw3_kung1 / kaw3_ku3	ngiot8_liong6_kwong1	pi6_ko1	hi1	caang1	pi3	tong6	taj6_jiw6	lung2	lo2	jiam2	wun1	jiaw3	p(i)ok7_taw2	kiaw5	ha1	hun1	tsaj3	tiaw2_kaang1	wong2_taw6	wo2_fa1_tsiok8	kham2_low2	fan6	tong6	king1_shit8	a5	siaw3_thaw1	ko1	phiak8	lok8_y4	kam2_ky2	ming2_ciw1	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8 / jik8	kham2_nyit8 / tsam2_nyit8
EP	haam5_tsaj2	kin4	ngo4	ham9_pa9_lang9	jiak8	tung2	fi1_shy3	nat8	hat5_maj3_tsaj3	tsyn1	nian1	hi1_fu4	khwaaj5_kuj3	khwaaj5_tsi3	tung5_shuj3	tsik7_tsyt7	laat8_thaat7	muon2_tang3	wo_li9	hiak7	tan6	kaw3_na3	hian1_she2_siam3	wo2_jing1	tian2_kaj1	ko5	shiw1_shuj3	wo2	ko5	kin1_na	tu4_ngo6	waang2 / tshi5	tam2	ciong1	law6	laang4	tow5	thaj3	kaw3_kung1	po1_so9	pi6_ko1	hi1	caang1	pi3	lew6	pu/o1_luk7	wok8_nyi3_lung2	taw4 / liong2_ha4	shiong6_mi6	wun1	jiaw3 / cong1	kaan5_taw2	haam5 / tsi4	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	wo2_tsiok8	kha2_low9	fan6	tong6	kiat7_shit8	ning9	siaw3_mo1_tsaj3	kho9	phiak8 / saw	lok8_shuj3	kam2_shy2	hian1_tsow3	li6	taw5	tse1	thiang1_kaaw5	ko1_shuj2	jik8	tsi6_nyit8
FG	ti6	kin4	ngo4			tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1		tiaw5_pi2 / paak7_iam5	khwaaj5_tsi3	tung5_shuj3	tsyt7_tsaj3	laat8_thaat7 / u1_tsow1	ti6_puk8	nong2_ni9	shik2	tan6	kaw3_na3	shiam3_tian6	wu1_jing1	kap7_na3	ko5	tsap7_lap7	wo2_tsaj3	ciak7		tu4_ngo6	tshi5	ciak7	ciong1	law6	cing6	haj3	thaj3	kaw3_ku3	ngiot8_na3	pi6_ko1	hi1	caang1	pi3	lew6	paj5_luk7	hung2 / lung2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	haam5	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	kha2_low9	fan6	tong6	shit8_tsik8	ko5	tsaak8_tsaj3	ni1	tew3	lok8_shuj3	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsok8_nyit8
FK	nit8_nyin2	kin4	nung4			tung2	fi1_shy3 / fuk7_shy3	pha5	hat7_thiak7	eng1	nian1		tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	sap7_tsyt7	u1_tsow1	muon2_kaaw1	khiong5_khen1	hiak7	chun1	kaew_po2	iop8_liang6	jing1	kap7	ko5	tsap7_lap7	wo2	taw2/6		tu4_ki1	tshi5	hiong5	tiong1	o1	cing6_(post)	tsoj4	hon5	kaw3_ku3	ngiot8_liong6	pi6_ko1	tshiang1	hiam5	pi3	sa3 / lan1	taj6_kom1	on_lung2	long2	jiam2	wun1	jiaw3	p(i)ok7_taw2	aaw1	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	tsiok8_kuk7_lo4	ci1_cy1	pan6	sa3 / lan1	kiat7_shit8	pu1	tsaak8_tsaj3	kat7	tew3	lok8_y4	kam2_ky2	tung1_nyit8	shit8 / shit8_li6 / shit8_taw2	pho1	tse1	kwaaj1	ku3_nyin2	chi5	tsian2_nyit8
FS	ti6	cin4	ngo4	ham9_pa9_lang9	tu1	tung2	fi1_shy3 / fuk7_shy3	kiang1 / tsat8	hat7_nyi2	tsyn1	nian1	ha1	jaj4 / paak7_iam5 / tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	tsik7_tsyt7	laat8_thaat7 / u1_tsow1	muon2_ka/om4	tong2_mi1	shik2	chun1 / tan6	kaw3_na3	siap3_liang6	wu1_jing1	tshing1_wa1 / tian2_kaj1	ko5	tsap7_lap7	wo2	ciak7	tiam3	tu4_ngo6	wun2 / tshi5	puoj6	ciong1	shaang1	laang4	haj3 / hiong3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	pi3	lew6	luk7_jiw9	wok8_nyi3_long2	taw4	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wo2_tsiok8	ci1_cy1	fan6	tong6 / kwaang6	shit8_tsiang6	ko5	shy3_mo1	ti1	tiang5 / phiak8	lok8_y4	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	pian1_ko5	jik8	kham2_nyit8 / tsam2_nyit8
FS_p	li4	cin4	nga4	ham9_pa9_lang9	ja4	tsaw1	fi1_shy3	pha5	kiw1_hwa1_tsi3	tsyn1	pe1	hap7	ngwaan2_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	u1_soj1	muon2_hom3	tong2_li1	hiak7	tan6	mu4_kaw3	shiam3_tian6	mun1_jing1	kap7	ko5	tow3_pi6	kuk7	phit7	nang_kǝ	ki1	paj	pong6	pa3	a1/e1	kiw6	cy6	hon5	kung1_kaw3	ngiot8_liong6	pat8_tsi3	hi1	shiaw3	ngaaj4	lew6	puk8_tsi3	kiong5_kiong5_tong	cing2	jiam2	laj1	cong1	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	nyi2	thong3_kaang1	wong2_taw6	ma2_tsiok8	cu1_ca1	fan6	kwaang6	khim1	ni1	chaap7_shiw3	kǝ1	tew3	lok8_y4	cam2_shy2	ming2_nyit8	li6_tsin2	taw5	saan3	kwaaj1	na3_ko5_nyin2	jik8	tsi6_nyit8
